,x
1,-1.9
1,0.921213685
2,2.497756895
3,3.1
4,3.003326986
5,2.503176299
6,1.9
7,1.469182074
8,1.385834205
9,1.8
10,2.760685457
11,3.91274614
12,4.8
13,5.084372393
14,4.900218274
15,4.5
16,4.112936083
17,3.875269655
18,3.9
19,4.204624015
20,4.424629034
21,4.1
22,2.975975264
23,1.618806802
24,0.8
25,1.035919375
26,1.822365979
27,2.4
28,2.258125016
29,1.880618171
30,2
31,3.07972871
32,4.50701319
33,5.4
34,5.171108292
35,4.409847587
36,4
37,4.524727011
38,5.364707572
39,5.6
40,4.641094775
41,3.220211015
42,2.4
43,2.888671668
44,3.976670591
45,4.6
46,4.004218553
47,2.67310662
48,1.4
49,0.812972638
50,0.879051076
51,1.4
52,2.169816819
53,2.951429818
54,3.5
55,3.629982307
56,3.393007431
57,2.9
58,2.325068768
59,2.095058978
60,2.7
61,4.362335215
62,6.234164064
63,7.2
64,6.521886667
65,4.971988469
66,3.7
67,3.531599597
68,3.996400577
69,4.3
70,3.899863092
71,3.260927741
72,3.1
73,3.894873961
74,5.167295867
75,6.2
76,6.442863286
77,6.014333234
78,5.2
79,4.278117339
80,3.497593417
81,3.1
82,3.229852542
83,3.643441246
84,4
85,4.054324344
86,3.943456415
87,3.9
88,4.112109341
89,4.590140502
90,5.3
91,6.141682735
92,6.751537133
93,6.7
94,5.739678237
95,4.351859116
96,3.2
97,2.781085798
98,2.92621159
99,3.3
100,3.6656082
101,4.18033156
102,5.1
103,6.467592513
104,7.474684391
105,7.1
106,4.830688416
107,2.187597544
108,1.2
109,3.131876047
110,6.186036544
111,7.8
112,6.230696285
113,3.012700723
114,0.5
115,0.36385733
116,1.544642044
117,2.3
118,1.417578098
119,-0.194972602
120,-1.1
121,-0.330466018
122,1.198211329
123,2.1
124,1.415397084
125,-0.108983823
126,-1.3
127,-1.271863061
128,-0.288201963
129,1.1
130,2.397981084
131,3.335865748
132,3.7
133,3.387346132
134,2.737331564
135,2.2
136,2.085967723
137,2.14814133
138,2
139,1.398412608
140,0.67380682
141,0.3
142,0.605567032
143,1.338112873
144,2.1
145,2.612652599
146,3.073741689
147,3.8
148,4.966044796
149,6.178031483
150,6.9
151,6.745390438
152,5.925243491
153,4.8
154,3.696837895
155,2.809883444
156,2.3
157,2.267257982
158,2.568556067
159,3
160,3.382278326
161,3.634410805
162,3.7
163,3.570295382
164,3.427134047
165,3.5
166,3.906910518
167,4.320015971
168,4.3
169,3.587247731
170,2.640950218
171,2.1
172,2.384839299
173,3.042109082
174,3.4
175,3.021543221
176,2.409131974
177,2.3
178,3.154913742
179,4.328770432
180,4.9
181,4.221764775
182,2.746156671
183,1.2
184,0.1987679
185,-0.087471189
186,0.4
187,1.575756218
188,2.777802158
189,3.2
190,2.350059081
191,0.991077372
192,0.2
193,0.724007457
194,1.991221688
195,3.1
196,3.379837017
197,3.084776618
198,2.7
199,2.545533365
200,2.28078295
201,1.4
202,-0.332340848
203,-2.070871382
204,-2.7
205,-1.519873678
206,0.506406282
207,2
208,1.900724449
209,0.42302403
210,-1.9
211,-4.520061155
212,-6.828132033
213,-8.2
214,-8.194553901
215,-7.103088491
216,-5.4
217,-3.527649165
218,-1.800254744
219,-0.5
220,0.212557968
221,0.663366725
222,1.3
223,2.388528403
224,3.469010066
225,3.9
226,3.292587679
227,2.268000419
228,1.7
229,2.181861623
230,3.184914184
231,3.9
232,3.757743606
233,3.147898401
234,2.7
235,2.816793583
236,2.993862583
237,2.5
238,0.930637619
239,-0.812237623
240,-1.5
241,-0.354158873
242,1.603236056
243,2.9
244,2.534146021
245,1.384478583
246,0.8
247,1.710167381
248,3.366257018
249,4.6
250,4.562221493
251,3.680122974
252,2.7
253,2.1927985
254,2.028065899
255,1.9
256,1.570288213
257,1.070576391
258,0.5
259,-0.014692091
260,-0.23629739
261,0.1
262,1.099591261
263,2.230168723
264,2.8
265,2.360771491
266,1.437844722
267,0.8
268,1.023989442
269,1.918452391
270,3.1
271,4.165492965
272,4.632790159
273,4
274,2.073297957
275,-0.108872287
276,-1.2
277,-0.280907016
278,1.858254546
279,4
280,5.176256035
281,5.416594844
282,5
283,4.194401397
284,3.223514225
285,2.3
286,1.638730971
287,1.463422329
